jop_title,company_name,company_location,jop_exp,jop_num_exp,jop_skills
Data Warehousing - Oil Gas,BD SELECT,"Doha, Qatar",Not specified,None,"[' IT/Software Development ', ' Logistics/Supply Chain ', ' Engineering - Telecom/Technology ', ' Data Warehousing ', ' Computer Science ', ' Information Technology (IT) ', ' SQL ', ' Logistics ', ' Warehousing ', ' ETL']"
Data Analyst Specialist,Almoosa Specialist Hospital,"Riyadh, Saudi Arabia",Not specified,None,"[' Administration ', ' IT/Software Development ', ' Analyst/Research ', ' Microsoft Office ', ' Data Entry ', ' Administration ', ' Data Analysis ', ' Analysis ', ' Computer Science ', ' Information Technology (IT)']"
Data Solution Architect,Sceel.io,"Maadi, Cairo, Egypt",Experienced,5 - 8 Yrs of Exp,"[' Customer Service/Support ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Architecture ', ' AWS ', ' Azure ', ' Cloud ', ' Computer Engineering ', ' Computer Science ', ' Data Modeling']"
Data Management Consultant,Sceel.io,"Maadi, Cairo, Egypt",Experienced,5 - 7 Yrs of Exp,"[' IT/Software Development ', ' Operations/Management ', ' Engineering - Telecom/Technology ', ' Communication ', ' Computer Science ', ' Data Management ', ' Data Modeling ', ' Data ', ' ETL ', ' Information Technology (IT)']"
Quality Assurance Executive (data analysis- internal auditing),BayanTech,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Quality ', ' Engineering - Telecom/Technology ', ' Quality Assurance ', ' Quality Control ', ' Quality ', ' QA ', ' Computer Science ', ' Engineering ', ' Information Technology (IT)']"
"Technical Sales Leader - Data&AI, Automation - UAE",Gulf Business Machines PND,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Sales/Retail ', ' Engineering - Mechanical/Electrical ', ' Sales ', ' Sales Skills ', ' Sales Target ', ' Real Estate ', ' Engineering ', ' Customer Service ', ' Customer Support']"
Principal - Data & Services Business Development,OA,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Education/Teaching ', ' Education ', ' Teaching ', ' Computer Science ', ' Information Technology (IT) ', ' Engineering ', ' Management ', ' Administration']"
Senior Data Architect/Modeler,eT3,"New Cairo, Cairo, Egypt",Experienced,3 - 7 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Data Modeling ', ' data quality ', ' Data Warehousing ', ' SQL ', ' Modeling ', ' Erwin ', ' data quality management']"
Technology Sales SME Data&AI MEA,Gulf Business Machines PND,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Sales/Retail ', ' Engineering - Telecom/Technology ', ' information technology (it) ', ' computer science ', ' sales ', ' sales skills ', ' software ', ' marketing ', ' ai']"
Snr Data Center Project Engineer,Amazon Data Services Emirates LLC,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Sales/Retail ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Engineering ', ' Data Center ', ' EMC ', ' Cisco ', ' IBM']"
"Data Centre Technician - UAE National Only, DCO",ADS Emirates LLC (Dubai South On,"Dubai, United Arab Emirates",Not specified,None,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Mechanical/Electrical ', ' engineering ', ' information technology (it) ', ' computer science ', ' maintenance ', ' installation ', ' networking ', ' troubleshooting']"
Engineering Data Analyst (Digital Twin),KBR Inc.,"Riyadh, Saudi Arabia",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Information Technology (IT) ', ' Data Analysis ', ' Analysis ', ' Engineering ', ' SQL ', ' Microsoft Office']"
Manager IT Data Engineering,Charterhouse Middle East,"Dubai, United Arab Emirates",Not specified,None,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Computer Engineering ', ' Engineering ', ' Software Engineering ', ' Software Development ', ' Data Management']"
Data Engineer,DXC.technology,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Computer Engineering ', ' Engineering ', ' Software Engineering ', ' Software Development ', ' SQL']"
Data Engineer-Data Integration,IBM WTC Egypt,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Engineering ', ' SQL ', ' Software Engineering ', ' Computer Engineering ', ' Software Development']"
Specialist Big Data Administrator - SWDC,Giza Arabia Systems,"Cairo, Egypt",Not specified,None,"[' Administration ', ' Human Resources ', ' IT/Software Development ', ' administration ', ' microsoft office ', ' business administration ', ' information technology (it) ', ' computer science ', ' english ', ' communication skills']"
Data Analysis Supervisor,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt",Experienced,6 - 8 Yrs of Exp,"[' Analyst/Research ', ' Sales/Retail ', ' Analysis ', ' Administration ', ' Data Analysis ', ' Finance ', ' business ', ' Sales Analysis ', ' Microsoft Excel ', ' Data']"
Master Data Analyst,Johnson & Johnson,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Data Analysis ', ' Analysis ', ' Computer Science ', ' Information Technology (IT) ', ' Microsoft Office ', ' SQL ', ' Microsoft Excel']"
Programme Assistant (Data Analyst),World Food Program,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Education/Teaching ', ' computer science ', ' teaching ', ' education ', ' information technology (it) ', ' design ', ' english ', ' management']"
Data Analysis Quality Internship - Alexandria,Prometeon Tyres Group – Egypt  (Ex,"Ameria, Alexandria, Egypt",Experienced,Quality,"[' Analyst/Research ', ' Analysis ', ' Computer Engineering ', ' Computer Science ', ' Data Analysis ', ' quality ', ' SQL ', ' Data']"
Data Analyst,UrbaCon Contracting & Trading Company,"Doha, Qatar",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Data Analysis ', ' Analysis ', ' Computer Science ', ' Information Technology (IT) ', ' SQL ', ' Microsoft Office ', ' Microsoft Excel']"
Data Engineer,Erada,"Maadi, Cairo, Egypt",Experienced,2 - 3 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Engineering ', ' Computer Science ', ' Information Technology (IT) ', ' Software Development']"
Data Science Instructor,EpsilonAI,"Nasr City, Cairo, Egypt",Experienced,1+ Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Training/Instructor ', ' Data Science ', ' Computer Science ', ' Computer Engineering ', ' Python ', ' Machine Learning ', ' Deep Learning ', ' Artificial Intelligence (AI)']"
Financial Data Analyst,Zewail City,"6th of October, Giza, Egypt",Experienced,2 - 3 Yrs of Exp,"[' Accounting/Finance ', ' Analyst/Research ', ' Accounting ', ' Analysis ', ' business ', ' Economics ', ' Data ', ' Finance ', ' Financial ', ' Financial Analysis']"
IT Specialist,Rockal,"Nasr City, Cairo, Egypt",Experienced,0 - 2 Yrs of Exp,"[' males_preferred ', ' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Technical Support ', ' Computer Engineering ', ' Network Administration ', ' Installation ', ' Networking']"
iOS Mobile Developer,qTech.,"Mansoura, Dakahlia, Egypt",Experienced,2+ Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Software Development ', ' Objective-C ', ' Java ', ' OpenGL ', ' Mobile Development ', ' Computer Science ', ' Computer Engineering ', ' Software Engineering']"
Paid Search Consultant - Dubai,Online Marketing Gurus,"Dubai, United Arab Emirates",Not specified,None,"[' Marketing/PR/Advertising ', ' Sales/Retail ', ' Media/Journalism/Publishing ', ' Marketing ', ' Advertising ', ' Media ', ' SEM ', ' SEO ', ' Social Media ', ' Digital Marketing']"
Science Tutor - Preparatory (Arabic - English Freelance),Nagwa,"Nasr City, Cairo, Egypt",Experienced,2+ Yrs of Exp,"[' Education/Teaching ', ' Teaching ', ' Tutoring ', ' Online Education ', ' Education ', ' Science ', ' Tutor']"
Science Tutor - Primary (Arabic - English Freelance),Nagwa,"Nasr City, Cairo, Egypt",Experienced,2+ Yrs of Exp,"[' Education/Teaching ', ' Teaching ', ' Tutoring ', ' Online Education ', ' Education ', ' Science ', ' Tutor']"
Analyst (Resource Management) – IT PMO & Partnerships,flydubai,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Analysis ', ' Information Technology (IT) ', ' Computer Science ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Microsoft Office']"
Analyst,Mercer,"Riyadh, Saudi Arabia",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Analysis ', ' Information Technology (IT) ', ' Computer Science ', ' Business Analysis ', ' Finance ', ' Accounting ', ' Microsoft Office']"
