jop_title,company_name,company_location,jop_exp,jop_num_exp,jop_skills
Network & System Administration Officer,Almosafer,"Mohandessin, Giza, Egypt",Experienced,2 - 4 Yrs of Exp,"[' Administration ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Administration ', ' Computer Science ', ' Cisco ', ' Configuration ', ' Information Technology (IT) ', ' Management ', ' network']"
CRM - Solutions Architect,Persistence Recruitment,"Riyadh, Saudi Arabia",Not specified,None,"[' Customer Service/Support ', ' IT/Software Development ', ' Sales/Retail ', ' CRM ', ' Sales ', ' Sales Skills ', ' Customer Service ', ' Customer Support ', ' Sales Target ', ' Customer Care']"
Help Desk Engineer.,Confidential,"Obour City, Cairo, Egypt",Experienced,2 - 4 Yrs of Exp,"[' males_only ', ' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Troubleshooting ', ' Microsoft Office ', ' WAN ', ' CompTIA A+ ', ' Repair ', ' Microsoft']"
Senior Technical Engineering Manager,Antal International,"Cairo, Egypt",Not specified,None,"[' Engineering - Construction/Civil/Architecture ', ' Engineering - Telecom/Technology ', ' Engineering - Mechanical/Electrical ', ' Engineering ', ' Technical Office ', ' AutoCAD ', ' Civil Engineering ', ' Architecture ', ' Information Technology (IT) ', ' Computer Science']"
Cyber Security Engineer,Almoosa Specialist Hospital,"Riyadh, Saudi Arabia",Not specified,None,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Engineering ', ' Security ', ' Networking ', ' Computer Engineering ', ' Cisco']"
Oracle SCM Consultant (Fusion),Confidential,"Mokattam, Cairo, Egypt",Experienced,2 - 4 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Information Technology (IT) ', ' orcale Fusion ', ' Oracle SCM']"
Network Engineer,Injaz Tech for advanced systems,"Heliopolis, Cairo, Egypt",Experienced,3 - 7 Yrs of Exp,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Cisco ', ' CCNA ', ' Information Technology (IT) ', ' Networking ', ' Computer Engineering ', ' Computer Science ', ' Software Development']"
BUSINESS ANALYST - MIDDLE EAST - Arthur D. Little Austria,Qureos,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Business Analysis ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Software Development ', ' Software ', ' Computer Engineering']"
Junior Product Development Engineer,3Brothers,"Cairo, Egypt",Experienced,0 - 2 Yrs of Exp,"[' Creative/Design/Art ', ' Engineering - Mechanical/Electrical ', ' Design ', ' Development ', ' Electrical Engineering ', ' Engineering ', ' English ', ' zemax ', ' r&d ', ' Product']"
Senior IT Engineer,Royal Herbs,"Alsadat City, Monufya, Egypt",Experienced,3 - 7 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Engineering ', ' Information Technology (IT) ', ' Network ', ' Troubleshooting ', ' Security ', ' computer ', ' IT Service Management']"
"Manager, Corporate Performance",ADNOC (Abu Dhabi National Oil Company),"Abu Dhabi, United Arab Emirates",Not specified,None,"[' Business Development ', ' Operations/Management ', ' Sales/Retail ', ' Sales ', ' Sales Skills ', ' Sales Target ', ' Corporate Sales ', ' Business Development ', ' Microsoft Office ', ' Customer Service']"
CIS Operations Specialist,OKX Ventures,"Dubai, United Arab Emirates",Not specified,None,"[' Customer Service/Support ', ' Logistics/Supply Chain ', ' Operations/Management ', ' Operations ', ' Customer Service ', ' Logistics ', ' Customer Support ', ' Customer Care ', ' Microsoft Office ', ' Administration']"
IT Help Desk,Amer Vision Group,"Sheraton, Cairo, Egypt",Experienced,1 - 3 Yrs of Exp,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Computer Engineering ', ' computer ', ' Computer Science ', ' Engineering ', ' Information technology ', ' Information Technology (IT) ', ' Technology']"
AWS Solution Architect,Pro Dev Tech,"Cairo, Egypt",Experienced,4+ Yrs of Exp,"[' IT/Software Development ', ' AWS ', ' Agile ', ' Computer Engineering ', ' Computer Science ', ' DevOps ', ' Engineering ', ' Information Technology (IT) ', ' Cloud ', ' Java']"
ERPNext Developer,Pro Dev Tech,"Cairo, Egypt",Experienced,4+ Yrs of Exp,"[' IT/Software Development ', ' ERP ', ' ERP System ', ' ERP Solutions ', ' ERP Applications ', ' Computer Science ', ' erpnext ', ' HTML ', ' JavaScript ', ' Jinja']"
Intern for TMC&F,Merck Sharp & Dohme Corp,"Dubai, United Arab Emirates",Not specified,None,"[' Accounting/Finance ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' information technology (it) ', ' computer science ', ' accounting ', ' finance ', ' pharmaceutical ', ' editing ', ' healthcare']"
CRM Business Analyst,Top Notch Consultancy,"Riyadh, Saudi Arabia",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Business Analysis ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Software Development ', ' Software ', ' Computer Engineering']"
Monitoring Agent " L 1 ",e,"6th of October, Giza, Egypt",Experienced,1 - 2 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Monitoring ', ' Security ', ' Engineering ', ' Computer Science ', ' Information Technology (IT)']"
Production Internship,Prometeon Tyres Group – Egypt  (Ex,"Ameria, Alexandria, Egypt",Experienced,0 - 1 Yrs of Exp,"[' Manufacturing/Production ', ' Science ', ' Production']"
Technical Consultant,Top Notch Consultancy,"Doha, Qatar",Not specified,None,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Engineering ', ' SQL ', ' Technical Support ', ' Computer Engineering ', ' C#']"
Senior Application Expert [Administration],Mekdam Holding Group,"Doha, Qatar",Not specified,None,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' information technology (it) ', ' computer science ', ' engineering ', ' software development ', ' microsoft office ', ' sql ', ' javascript']"
FICO Consultant - Senior Associate,PwC Cairo,"Cairo, Egypt",Experienced,3 - 7 Yrs of Exp,"[' Accounting/Finance ', ' IT/Software Development ', ' SAP ', ' FICO ', ' Computer Science ', ' Information Technology (IT)']"
Software Quality Control Engineer,Aqarmap.com,"Nasr City, Cairo, Egypt",Experienced,2 - 4 Yrs of Exp,"[' IT/Software Development ', ' Quality ', ' Engineering - Telecom/Technology ', ' QA ', ' QC ', ' Quality Control ', ' Quality Assurance ', ' Software Testing ', ' Test Cases ', ' Selenium']"
Frontend Developer "React",Bydotpy,"New Cairo, Cairo, Egypt",Experienced,2 - 3 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' CSS ', ' HTML5 ', ' Information Technology (IT) ', ' JavaScript ', ' React ', ' Software Development ', ' CSS3']"
CRM - Solutions Delivery Manager,Persistence Recruitment,"Riyadh, Saudi Arabia",Not specified,None,"[' Customer Service/Support ', ' IT/Software Development ', ' Sales/Retail ', ' CRM ', ' Sales ', ' Sales Skills ', ' Customer Service ', ' Customer Support ', ' Sales Target ', ' Customer Care']"
Testing Engineer,DXC.technology,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Quality ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Information Technology (IT) ', ' Testing ', ' Software Testing ', ' Software Development ', ' Software Engineering ', ' Engineering']"
Principal Software Engineer (Java),BBI,"Nasr City, Cairo, Egypt",Experienced,8+ Yrs of Exp,"[' IT/Software Development ', ' Computer Science ', ' Java ', ' Information Technology (IT) ', ' J2ee ', ' Design Patterns ', ' Architecture ', ' Software Engineering ', ' Spring ', ' Software Development']"
Program Manager,FlairsTech,"Cairo, Egypt",Experienced,7 - 10 Yrs of Exp,"[' IT/Software Development ', ' Project Management ', ' Computer Science ', ' Programming ', ' PMP ', ' Software Development ', ' Software ', ' Management ', ' Development ', ' Analysis']"
Microsoft Dynamics 365 Supply chain Functional Consultant,Seoudi Supermarket,"Sheikh Zayed, Giza, Egypt",Experienced,3 - 5 Yrs of Exp,"[' IT/Software Development ', ' Logistics/Supply Chain ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Information Technology (IT) ', ' Logistics ', ' Supply Chain ', ' Warehouse ', ' Warehouse Management ', ' business']"
DevOps Manager,Pro Dev Tech,"Cairo, Egypt",Experienced,7 - 10 Yrs of Exp,"[' IT/Software Development ', ' Computer Engineering ', ' Computer Science ', ' Cloud ', ' DevOps ', ' Information Technology (IT) ', ' Management ', ' Linux ', ' Oracle ', ' Python']"
Full Stack Team Lead,SATA Group,"Nasr City, Cairo, Egypt",Experienced,3 - 5 Yrs of Exp,"[' IT/Software Development ', ' Sql, Node Js, Angular, .net, postman ', ' Computer Science']"
Senior Collections Requirements Manager,"Bts, Llc","Kuwait City, Kuwait",Not specified,None,"[' IT/Software Development ', ' Sales/Retail ', ' Engineering - Telecom/Technology ', ' information technology (it) ', ' computer science ', ' engineering ', ' microsoft office ', ' management ', ' software ', ' analysis']"
Field Technician,Rawabi Holding,"Riyadh, Saudi Arabia",Not specified,None,"[' Installation/Maintenance/Repair ', ' Engineering - Telecom/Technology ', ' Engineering - Mechanical/Electrical ', ' engineering ', ' information technology (it) ', ' computer science ', ' maintenance ', ' installation ', ' english ', ' troubleshooting']"
Business Analyst,Youxel,"Cairo, Egypt",Experienced,4+ Yrs of Exp,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Business Analysis ', ' Information Technology (IT) ', ' Engineering ', ' Software Development ', ' Software ', ' Software Engineering ', ' Computer Science']"
ERP System Analyst,Aqarmap.com,"Nasr City, Cairo, Egypt",Experienced,1 - 3 Yrs of Exp,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Analyst ', ' analytical ', ' Computer Science ', ' ERP systems ', ' Information Technology (IT) ', ' Software ', ' System Analyst']"
Organizational Development Specialist,Foreground Consultancy,"Doha, Qatar",Not specified,None,"[' Business Development ', ' Marketing/PR/Advertising ', ' Sales/Retail ', ' Business Development ', ' Sales ', ' Sales Skills ', ' Sales Target ', ' Marketing ', ' Customer Service ', ' Microsoft Office']"
Metadata Management Lead,Charterhouse Middle East,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Operations/Management ', ' Sales/Retail ', ' Sales ', ' Information Technology (IT) ', ' Microsoft Office ', ' Sales Skills ', ' Management ', ' Administration ', ' Engineering']"
ERPNext Developer,Confidential,"Maadi, Cairo, Egypt",Experienced,3 - 6 Yrs of Exp,"[' IT/Software Development ', ' APIs ', ' erpnext ', ' Python ', ' HTML ', ' CSS ', ' JavaScript ', ' Web ', ' Computer Science']"
Principal Engineer - Information Management,Petrofac,"Dubai, United Arab Emirates",Not specified,None,"[' Customer Service/Support ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Engineering ', ' Telecommunication ', ' Software Engineering ', ' Software Development ', ' Mechatronics']"
"Vendor Consultant, Spanish",Amazon MENA,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Engineering - Mechanical/Electrical ', ' engineering ', ' information technology (it) ', ' computer science ', ' sales ', ' project management ', ' english ', ' marketing']"
Inventory Analyst,Etihad Airways,"Abu Dhabi, United Arab Emirates",Not specified,None,"[' Accounting/Finance ', ' IT/Software Development ', ' Analyst/Research ', ' information technology (it) ', ' analysis ', ' computer science ', ' business analysis ', ' supply chain ', ' finance ', ' management']"
Customer Success Manager - Leader,Gulf Business Machines PND,"Riyadh, Saudi Arabia",Not specified,None,"[' Customer Service/Support ', ' Operations/Management ', ' Sales/Retail ', ' Customer Service ', ' Customer Care ', ' Customer Support ', ' Management ', ' Sales ', ' Call Center ', ' Sales Skills']"
Product Executive/Specialist - Respiratory Management Unit - Zahrawi Medical,Qureos,"Dubai, United Arab Emirates",Not specified,None,"[' Medical/Healthcare ', ' Sales/Retail ', ' Pharmaceutical ', ' Sales ', ' Sales Skills ', ' Pharmacy ', ' Medical ', ' Science ', ' Sales Target ', ' Outdoor Sales']"
Senior Localization Project Manager (Hybrid),BayanTech,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Project/Program Management ', ' Engineering - Telecom/Technology ', ' Project Management ', ' Information Technology (IT) ', ' Computer Science ', ' PMP ', ' Engineering ', ' Localization ', ' Management']"
Laravel Developer,Well.Fit.GO!,"Sheraton, Cairo, Egypt",Experienced,4 - 6 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' laravel developer ', ' Laravel ', ' Computer Science ', ' developer']"
Senior Engineer Electrical,AECOM,"Riyadh, Saudi Arabia",Not specified,None,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Engineering - Mechanical/Electrical ', ' Engineering ', ' Electrical Engineering ', ' Information Technology (IT) ', ' Computer Science ', ' Software Engineering ', ' AutoCAD ', ' Mechanical Engineering']"
Certification Engineer I - Kuwait,"Honeywell International, Inc.","Kuwait City, Kuwait",Not specified,None,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Engineering - Mechanical/Electrical ', ' Engineering ', ' Computer Science ', ' Information Technology (IT) ', ' Java ', ' Software Engineering ', ' Python ', ' Technical Support']"
Monitoring Assistant SC,World Food Program,"Cairo, Egypt",Not specified,None,"[' Administration ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' microsoft office ', ' engineering ', ' administration ', ' information technology (it) ', ' management ', ' english ', ' admin']"
Java Developer - Back End,Ebla,"Nasr City, Cairo, Egypt",Experienced,5+ Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Java ', ' javaScript ', ' Information Technology (IT) ', ' Engineering ', ' Software Engineering ', ' Software Development ', ' Computer Science ', ' JAVA 6']"
Front-End Developer,Ebla,"Nasr City, Cairo, Egypt",Experienced,5 - 10 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Front-End ', ' Information Technology (IT) ', ' Computer Science ', ' Engineering ', ' Software Development ', ' Software Engineering ', ' javaScript ', ' HTML']"
Senior Software Tester (Nasr City),Confidential,"Nasr City, Cairo, Egypt",Experienced,3+ Yrs of Exp,"[' IT/Software Development ', ' Quality ', ' Engineering - Telecom/Technology ', ' Engineering ', ' Project Management ', ' Information Systems ', ' Information Technology (IT) ', ' Computer Science ', ' Computer Engineering ', ' Software']"
Full Stack Developer,3S Software,"Nasr City, Cairo, Egypt",Experienced,2 - 4 Yrs of Exp,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' MySQL ', ' MVC ', ' Information Technology (IT) ', ' JavaScript ', ' HTML5 ', ' HTML ', ' API']"
Laravel Developer,Kyan Labs,"Maadi, Cairo, Egypt",Experienced,1 - 3 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Laravel ', ' API ', ' PHP ', ' Information Technology (IT) ', ' Software Engineering ', ' HTML ', ' CSS ', ' JavaScript']"
Product Specialist - Sharkia,PRT Scientific Office,"Zagazig, Sharqia, Egypt",Experienced,0 - 5 Yrs of Exp,"[' Medical/Healthcare ', ' Sales/Retail ', ' Pharmaceutical ', ' Pharmacy ', ' Veterinary ', ' Medicine ', ' Sales ', ' Customer Service ', ' Pharmaceutical ', ' Cosmetics']"
Senior Backend Developer PHP / Laravel,Sulfah,"Maadi, Cairo, Egypt",Experienced,3 - 5 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Agile ', ' Computer Science ', ' Information Technology (IT) ', ' PHP ', ' Laravel ', ' Software Development ', ' backend']"
Operations Support Specialist,Professional Recruitment,"Riyadh, Saudi Arabia",Not specified,None,"[' Customer Service/Support ', ' IT/Software Development ', ' Operations/Management ', ' Customer Service ', ' Customer Support ', ' Information Technology (IT) ', ' Customer Care ', ' Computer Science ', ' Technical Support ', ' Operations']"
IT Help Desk Specialist - Mokattam hospital,Al Ahly Medical Company,"Mokattam, Cairo, Egypt",Experienced,1 - 2 Yrs of Exp,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Information Systems ', ' Help desk ', ' Installation ', ' Information Technology (IT) ', ' Systems']"
Senior Network Security Engineer,Help AG,"Riyadh, Saudi Arabia",Not specified,None,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Engineering ', ' Networking ', ' CCNP ', ' Cisco ', ' Networks']"
Business Development Manager,Mercer,"Dubai, United Arab Emirates",Not specified,None,"[' Business Development ', ' Marketing/PR/Advertising ', ' Sales/Retail ', ' Business Development ', ' Sales ', ' Sales Skills ', ' Sales Target ', ' Marketing ', ' Customer Service ', ' Customer Support']"
Mercer Saudi Arabia Internship Program,Mercer,"Riyadh, Saudi Arabia",Not specified,None,"[' IT/Software Development ', ' Project/Program Management ', ' Engineering - Telecom/Technology ', ' engineering ', ' information technology (it) ', ' computer science ', ' management ', ' microsoft office ', ' business development ', ' administration']"
Analyst II - Placement,Mercer,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' computer science ', ' information technology (it) ', ' sql ', ' iis ', ' business ', ' english']"
Helpdesk Executive,Mercer,"Dubai, United Arab Emirates",Not specified,None,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' information technology (it) ', ' computer science ', ' customer support ', ' computer engineering ', ' call center']"
IT Audit Supervisor,Foreground Consultancy,"Doha, Qatar",Not specified,None,"[' Accounting/Finance ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Engineering ', ' Accounting ', ' Auditing ', ' Maintenance ', ' Finance']"
Application Support Manager (Maximo/Kronos),Farah Experiences LLC,"Dubai, United Arab Emirates",Not specified,None,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' SQL ', ' Technical Support ', ' Application Support ', ' Customer Support ', ' Computer Engineering']"
Junior Full Stack .Net Developer,Aliaict,"Nasr City, Cairo, Egypt",Experienced,1+ Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' .Net ', ' Angular ', ' ASP.Net ', ' Computer Science ', ' CSS ', ' Full Stack ', ' HTML ', ' Information Technology (IT)']"
Key Accounts Manager,Amazon MENA,"Riyadh, Saudi Arabia",Not specified,None,"[' Business Development ', ' Customer Service/Support ', ' Sales/Retail ', ' Sales ', ' Sales Skills ', ' Customer Service ', ' Sales Target ', ' Customer Support ', ' Customer Care ', ' Account Management']"
Junior Project Coordinator (ex Customer Service),BayanTech,"Cairo, Egypt",Not specified,None,"[' Administration ', ' IT/Software Development ', ' Project/Program Management ', ' Project Management ', ' Administration ', ' Microsoft Office ', ' Project Coordination ', ' Information Technology (IT) ', ' Computer Science ', ' Engineering']"
Logistics Manager | Middle East Africa & Asia Pacific Utd.Arab Emir. Dubai,Doka USA LTD,"Dubai, United Arab Emirates",Not specified,None,"[' Customer Service/Support ', ' IT/Software Development ', ' Sales/Retail ', ' Sales ', ' Sales Skills ', ' Information Technology (IT) ', ' Indoor Sales ', ' Outdoor Sales ', ' Computer Science ', ' Customer Care']"
HR Project Associate (Contract),Nathan & Nathan,"Dubai, United Arab Emirates",Not specified,None,"[' Human Resources ', ' IT/Software Development ', ' Project/Program Management ', ' Project Management ', ' Human Resources (HR) ', ' PMP ', ' Information Technology (IT) ', ' Microsoft Office ', ' Computer Science ', ' Engineering']"
Specification Manager,Signify Holding,"Cairo, Egypt",Not specified,None,"[' IT/Software Development ', ' Sales/Retail ', ' Engineering - Telecom/Technology ', ' engineering ', ' information technology (it) ', ' computer science ', ' sales ', ' purchasing ', ' communication ', ' business']"
Senior Engineer – Biomedical,Sidra Medicine,"Doha, Qatar",Not specified,None,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Engineering - Mechanical/Electrical ', ' Engineering ', ' Information Technology (IT) ', ' Computer Science ', ' Software Engineering ', ' Software Development ', ' Computer Engineering ', ' Mechanical Engineering']"
Integration Engineer,Obeikan Digital Solutions,"Cairo, Egypt",Experienced,3 - 7 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' System Integration ', ' API ', ' Scripting ', ' Linux ', ' Information Technology (IT) ', ' English ', ' Engineering ', ' Networking']"
IT Manager,Nacita,"6th of October, Giza, Egypt",Experienced,10 - 12 Yrs of Exp,"[' IT/Software Development ', ' Information Technology (IT) ', ' Manager ', ' IT Manager ', ' Computer Science ', ' Project Management ', ' Computer Engineering ', ' IT ', ' Design ', ' SAP']"
Senior Field Support Engineer,Trapeze,"Dubai, United Arab Emirates",Not specified,None,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Computer Science ', ' Information Technology (IT) ', ' Engineering ', ' Customer Support ', ' Customer Service ', ' Customer Care ', ' SQL']"
"Vice President, Business Development - MENA",Rystad Energy,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Project/Program Management ', ' Engineering - Telecom/Technology ', ' information technology (it) ', ' computer science ', ' sales ', ' management ', ' business development ', ' marketing ', ' leadership skills']"
Senior Transformation Consultant,Zurich International Life,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Sales/Retail ', ' Engineering - Telecom/Technology ', ' Sales ', ' Sales Skills ', ' Real Estate ', ' Sales Target ', ' Information Technology (IT) ', ' Customer Service ', ' Computer Science']"
Senior Backend Developer - Part Time,Zewail City,"6th of October, Giza, Egypt",Experienced,3 - 5 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' .Net ', ' JSON ', ' Programming ', ' SQL ', ' Testing ', ' ASP.Net ', ' APIs ', ' Design']"
Document Control Specialist,Air Products (Middle East) FZE,"Jizan, Saudi Arabia",Not specified,None,"[' Administration ', ' Logistics/Supply Chain ', ' Quality ', ' Administration ', ' Microsoft Office ', ' Quality Control ', ' Document Control ', ' Quality Assurance ', ' Admin ', ' Quality']"
Junior IT Specialist,Jessour Misr,"Abu Rawash, Giza, Egypt",Experienced,1 - 2 Yrs of Exp,"[' Installation/Maintenance/Repair ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Computer Engineering ', ' Information Technology (IT) ', ' Software Engineering ', ' Software Development ', ' PHP ', ' Java ', ' Odoo']"
Quality Chemist,Confidential,"10th of Ramadan City, Cairo, Egypt",Experienced,3 - 5 Yrs of Exp,"[' R&D/Science ', ' Manufacturing/Production ', ' Quality ', ' Quality Control ', ' Science ', ' Chemistry ', ' Communication skills']"
Operations Lead - IoT Service and Call Center,Parker Connect,"Dubai, United Arab Emirates",Not specified,None,"[' Customer Service/Support ', ' IT/Software Development ', ' Operations/Management ', ' Operations ', ' Customer Care ', ' Customer Service ', ' Management ', ' Customer Support ', ' Microsoft Excel ', ' Microsoft Office']"
.Net React Full-stack Developer,Premier Services and Recruitment,"Cairo, Egypt",Experienced,1 - 3 Yrs of Exp,"[' IT/Software Development ', ' Full-Stack ', ' React ', ' Computer Science ', ' developer ', ' NET ', ' JavaScript']"
Senior Sales - Nutanix Unified Storage (NUS) - Emerging Markets,Nutanix,"Riyadh, Saudi Arabia",Not specified,None,"[' Customer Service/Support ', ' Sales/Retail ', ' Engineering - Mechanical/Electrical ', ' Sales ', ' Sales Skills ', ' Sales Target ', ' Customer Service ', ' Customer Support ', ' Real Estate ', ' Customer Care']"
.NET production Support Engineer (KSA),Ejada,"Riyadh, Saudi Arabia",Experienced,4 - 6 Yrs of Exp,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' .Net ', ' Computer Science']"
CRM - Solutions Designer,Persistence Recruitment,"Riyadh, Saudi Arabia",Not specified,None,"[' Customer Service/Support ', ' IT/Software Development ', ' Sales/Retail ', ' CRM ', ' Sales ', ' Sales Skills ', ' Customer Service ', ' Customer Support ', ' Sales Target ', ' Customer Care']"
Construction Apps - Solutions Delivery Manager,Persistence Recruitment,"Riyadh, Saudi Arabia",Not specified,None,"[' Creative/Design/Art ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' computer science ', ' information technology (it) ', ' software development ', ' javascript ', ' quality ', ' project management ', ' technology']"
IT Business Analyst - Saudi National Preferred,Persistence Recruitment,"Riyadh, Saudi Arabia",Not specified,None,"[' IT/Software Development ', ' Analyst/Research ', ' Engineering - Telecom/Technology ', ' Business Analysis ', ' Information Technology (IT) ', ' Computer Science ', ' Analysis ', ' Software Development ', ' Software ', ' Computer Engineering']"
Senior Engineer - Offshore Structural,Petrofac,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Engineering - Mechanical/Electrical ', ' Engineering ', ' Information Technology (IT) ', ' Computer Science ', ' Software Engineering ', ' Software Development ', ' Computer Engineering ', ' Mechanical Engineering']"
Principal Engineer - Offshore Structural,Petrofac,"Dubai, United Arab Emirates",Not specified,None,"[' Customer Service/Support ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Engineering ', ' Telecommunication ', ' Software Engineering ', ' Software Development ', ' Mechatronics']"
Digital Project Manager,GTECH Information Technology,"Dubai, United Arab Emirates",Not specified,None,"[' IT/Software Development ', ' Marketing/PR/Advertising ', ' Project/Program Management ', ' Project Management ', ' Engineering ', ' Marketing ', ' PMP ', ' Information Technology (IT) ', ' Management ', ' Digital Marketing']"
Senior Technical Project Manager,BBI,"Nasr City, Cairo, Egypt",Experienced,4+ Yrs of Exp,"[' IT/Software Development ', ' Project/Program Management ', ' Agile ', ' Computer Science ', ' English ', ' Information Technology (IT) ', ' Project Management ', ' Scrum Master ', ' Project Manager ', ' Scrum']"
Principal Engineer - Civil & Structural,Petrofac,"Dubai, United Arab Emirates",Not specified,None,"[' Customer Service/Support ', ' IT/Software Development ', ' Engineering - Telecom/Technology ', ' Information Technology (IT) ', ' Computer Science ', ' Engineering ', ' Telecommunication ', ' Software Engineering ', ' Software Development ', ' Mechatronics']"
Project Engineer,"Honeywell International, Inc.","Riyadh, Saudi Arabia",Not specified,None,"[' Engineering - Construction/Civil/Architecture ', ' Project/Program Management ', ' Engineering - Mechanical/Electrical ', ' Project Management ', ' Engineering ', ' Civil Engineering ', ' Construction ', ' Information Technology (IT) ', ' Computer Science ', ' Architecture']"
Specialist BI Developer - Team Lead,Giza Arabia Systems,"Cairo, Egypt",Not specified,None,"[' Business Development ', ' IT/Software Development ', ' Sales/Retail ', ' Business Development ', ' Sales ', ' Sales Skills ', ' Sales Target ', ' Marketing ', ' Information Technology (IT) ', ' Customer Service']"
IT Specialist,Confidential,"Obour City, Cairo, Egypt",Experienced,3 - 7 Yrs of Exp,"[' IT/Software Development ', ' Information Technology (IT) ', ' IT ', ' Security ', ' Networking ', ' Software ', ' Computer Science']"
Backend PHP,Obeikan Digital Solutions,"Cairo, Egypt",Experienced,2 - 7 Yrs of Exp,"[' IT/Software Development ', ' Agile ', ' Angular ', ' APIs ', ' Computer Science ', ' CSS ', ' Engineering ', ' HTML ', ' Information Technology (IT) ', ' MySQL']"
Node JS Developer,Obeikan Digital Solutions,"New Cairo, Cairo, Egypt",Experienced,2 - 5 Yrs of Exp,"[' IT/Software Development ', ' Angular ', ' Agile ', ' CSS ', ' Engineering ', ' Information Technology (IT) ', ' JavaScript ', ' OOP ', ' Software Development ', ' MySQL']"
